image_id,assigned_rule_id,primary_class,deterministic_answer,sampled_answers,answer_agreement_rate,majority_sampled_answer,deterministic_matches_majority,top_region_overlap_score,object_region_overlap_score,temperature,n_reruns,object_presence_rate,object_centroid_distance
0000007,rule_1,ppe_violation,compliant,"[""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.7946826341637488,0.36612087474932675,0.3,10,1.0,0.08171528588207903
0000007,rule_1,ppe_violation,compliant,"[""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""violation"", ""compliant"", ""compliant"", ""compliant"", ""compliant""]",0.8,compliant,True,0.4102418301862345,0.3607385494877571,0.5,10,1.0,0.07924215742173221
0000007,rule_1,ppe_violation,compliant,"[""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""violation"", ""compliant""]",0.8,compliant,True,0.6185101385761377,0.4028818201880589,0.7,10,1.0,0.07075892405390534
0000007,rule_1,ppe_violation,compliant,"[""compliant"", ""compliant"", ""violation"", ""compliant"", ""compliant"", ""violation"", ""compliant"", ""compliant"", ""compliant"", ""compliant""]",0.6444444444444445,compliant,True,0.31118916880996617,0.23222400948220717,1.0,10,1.0,0.07983806187578274
0000022,rule_3,compliant,compliant,"[""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.9950760547298999,0.9950760547298999,0.3,10,1.0,0.0016137504393114745
0000022,rule_3,compliant,compliant,"[""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.6601544691194212,0.6601544691194212,0.5,10,1.0,0.0968978030896123
0000022,rule_3,compliant,compliant,"[""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""violation"", ""compliant"", ""compliant"", ""compliant""]",0.8,compliant,True,0.8970133507118725,0.8970133507118725,0.7,10,1.0,0.027442553939106377
0000022,rule_3,compliant,compliant,"[""violation"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant""]",0.8,compliant,True,0.603882583928486,0.603882583928486,1.0,10,1.0,0.11712852531435725
0000023,rule_1,compliant,compliant,"[""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.5216850329523312,0.5216850329523312,0.3,10,1.0,0.07384876809798178
0000023,rule_1,compliant,compliant,"[""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.41508780092898573,0.41508780092898573,0.5,10,1.0,0.07409920440391758
