image_id,split,primary_class,violated_rule_ids,assigned_rule_id
0003302,test,ppe_violation,rule_1_violation,rule_1
0001986,test,ppe_violation,rule_1_violation|rule_3_violation,rule_1
0002153,test,ppe_violation,rule_1_violation,rule_1
0001804,test,ppe_violation,rule_1_violation,rule_1
0002262,test,ppe_violation,rule_1_violation|rule_2_violation,rule_1
0001842,test,ppe_violation,rule_1_violation,rule_1
0002525,test,ppe_violation,rule_1_violation,rule_1
0000766,test,ppe_violation,rule_1_violation,rule_1
0001151,test,ppe_violation,rule_1_violation,rule_1
0000116,test,ppe_violation,rule_1_violation,rule_1
0000545,test,ppe_violation,rule_1_violation,rule_1
0002957,test,ppe_violation,rule_1_violation,rule_1
0003928,test,ppe_violation,rule_1_violation|rule_3_violation|rule_4_violation,rule_1
0000233,test,ppe_violation,rule_1_violation,rule_1
0003067,test,ppe_violation,rule_1_violation,rule_1
0004380,test,ppe_violation,rule_1_violation,rule_1
0003516,test,ppe_violation,rule_1_violation,rule_1
0001982,test,ppe_violation,rule_1_violation|rule_4_violation,rule_1
0000641,test,ppe_violation,rule_1_violation,rule_1
0002211,test,ppe_violation,rule_1_violation,rule_1
0002348,test,ppe_violation,rule_1_violation,rule_1
0004171,test,ppe_violation,rule_1_violation,rule_1
0004680,test,ppe_violation,rule_1_violation,rule_1
0003922,test,ppe_violation,rule_1_violation,rule_1
0001077,test,ppe_violation,rule_1_violation,rule_1
0000623,test,ppe_violation,rule_1_violation,rule_1
0003943,test,ppe_violation,rule_1_violation,rule_1
0001117,test,ppe_violation,rule_1_violation,rule_1
0003339,test,ppe_violation,rule_1_violation,rule_1
0000007,test,ppe_violation,rule_1_violation|rule_3_violation,rule_1
0003429,test,ppe_violation,rule_1_violation,rule_1
0003206,test,ppe_violation,rule_1_violation,rule_1
0002291,test,ppe_violation,rule_1_violation,rule_1
0002599,test,ppe_violation,rule_1_violation,rule_1
0004273,test,ppe_violation,rule_1_violation,rule_1
0001431,test,ppe_violation,rule_1_violation,rule_1
0000229,test,ppe_violation,rule_1_violation,rule_1
0004332,test,ppe_violation,rule_1_violation,rule_1
0002668,test,ppe_violation,rule_1_violation,rule_1
0003164,test,ppe_violation,rule_1_violation,rule_1
0003071,test,ppe_violation,rule_1_violation,rule_1
0002480,test,ppe_violation,rule_1_violation,rule_1
0004497,test,ppe_violation,rule_1_violation,rule_1
0004716,test,ppe_violation,rule_1_violation,rule_1
0000437,test,ppe_violation,rule_1_violation|rule_4_violation,rule_1
0002260,test,ppe_violation,rule_1_violation,rule_1
0001460,test,ppe_violation,rule_1_violation,rule_1
0001470,test,ppe_violation,rule_1_violation,rule_1
0000469,test,ppe_violation,rule_1_violation,rule_1
0000102,test,ppe_violation,rule_1_violation,rule_1
0002158,test,fall_hazard,rule_2_violation,rule_2
0004032,test,fall_hazard,rule_3_violation,rule_3
0001071,test,fall_hazard,rule_3_violation,rule_3
0000203,test,fall_hazard,rule_3_violation,rule_3
0000376,test,fall_hazard,rule_3_violation,rule_3
0000117,test,fall_hazard,rule_3_violation,rule_3
0000253,test,fall_hazard,rule_3_violation,rule_3
0000421,test,fall_hazard,rule_3_violation|rule_4_violation,rule_3
0000993,test,fall_hazard,rule_2_violation,rule_2
0001667,test,fall_hazard,rule_3_violation,rule_3
0002595,test,fall_hazard,rule_3_violation,rule_3
0000079,test,fall_hazard,rule_3_violation,rule_3
0002092,test,fall_hazard,rule_2_violation,rule_2
0003479,test,fall_hazard,rule_2_violation,rule_2
0000468,test,fall_hazard,rule_3_violation,rule_3
0001520,test,fall_hazard,rule_3_violation,rule_3
0001597,test,fall_hazard,rule_3_violation,rule_3
0001194,test,fall_hazard,rule_3_violation,rule_3
0000991,test,fall_hazard,rule_3_violation,rule_3
0000874,test,fall_hazard,rule_2_violation,rule_2
0001484,test,fall_hazard,rule_3_violation,rule_3
0001436,test,fall_hazard,rule_3_violation,rule_3
0002150,test,fall_hazard,rule_3_violation,rule_3
0000361,test,fall_hazard,rule_3_violation,rule_3
0001798,test,fall_hazard,rule_3_violation,rule_3
0001623,test,fall_hazard,rule_3_violation,rule_3
0000550,test,fall_hazard,rule_3_violation,rule_3
0001530,test,fall_hazard,rule_2_violation,rule_2
0003613,test,fall_hazard,rule_3_violation,rule_3
0003632,test,fall_hazard,rule_2_violation,rule_2
0000149,test,fall_hazard,rule_2_violation,rule_2
0002534,test,fall_hazard,rule_3_violation,rule_3
0001699,test,fall_hazard,rule_2_violation,rule_2
0004831,test,fall_hazard,rule_2_violation,rule_2
0002815,test,fall_hazard,rule_2_violation,rule_2
0001274,test,fall_hazard,rule_3_violation,rule_3
0002178,test,fall_hazard,rule_3_violation,rule_3
0004552,test,fall_hazard,rule_3_violation,rule_3
0000626,test,fall_hazard,rule_3_violation,rule_3
0001981,test,fall_hazard,rule_3_violation,rule_3
0001081,test,fall_hazard,rule_3_violation,rule_3
0000370,test,fall_hazard,rule_3_violation,rule_3
0000606,test,fall_hazard,rule_3_violation,rule_3
0000925,test,fall_hazard,rule_2_violation,rule_2
0000478,test,fall_hazard,rule_3_violation,rule_3
0001989,test,fall_hazard,rule_3_violation,rule_3
0000895,test,fall_hazard,rule_3_violation,rule_3
0000332,test,fall_hazard,rule_2_violation,rule_2
0002925,test,fall_hazard,rule_3_violation,rule_3
0001229,test,fall_hazard,rule_3_violation,rule_3
0000331,test,struck_by_risk,rule_4_violation,rule_4
0000490,test,struck_by_risk,rule_4_violation,rule_4
0000878,test,struck_by_risk,rule_4_violation,rule_4
0003088,test,struck_by_risk,rule_4_violation,rule_4
0001512,test,struck_by_risk,rule_4_violation,rule_4
0001033,test,struck_by_risk,rule_4_violation,rule_4
0002446,test,struck_by_risk,rule_4_violation,rule_4
0000327,test,struck_by_risk,rule_4_violation,rule_4
0000120,test,struck_by_risk,rule_4_violation,rule_4
0004196,test,struck_by_risk,rule_4_violation,rule_4
0001325,test,struck_by_risk,rule_4_violation,rule_4
0003813,test,struck_by_risk,rule_4_violation,rule_4
0002042,test,struck_by_risk,rule_4_violation,rule_4
0000057,test,compliant,,rule_1
0000959,test,compliant,,rule_2
0000632,test,compliant,,rule_3
0000325,test,compliant,,rule_4
0000204,test,compliant,,rule_1
0000620,test,compliant,,rule_2
0000745,test,compliant,,rule_3
0000551,test,compliant,,rule_4
0000514,test,compliant,,rule_1
0000923,test,compliant,,rule_2
0000081,test,compliant,,rule_3
0000613,test,compliant,,rule_4
0000760,test,compliant,,rule_1
0000642,test,compliant,,rule_2
0000254,test,compliant,,rule_3
0000559,test,compliant,,rule_4
0000755,test,compliant,,rule_1
0000124,test,compliant,,rule_2
0000503,test,compliant,,rule_3
0000888,test,compliant,,rule_4
0000069,test,compliant,,rule_1
0000413,test,compliant,,rule_2
0000625,test,compliant,,rule_3
0000433,test,compliant,,rule_4
0000023,test,compliant,,rule_1
0000288,test,compliant,,rule_2
0000341,test,compliant,,rule_3
0000205,test,compliant,,rule_4
0000037,test,compliant,,rule_1
0000280,test,compliant,,rule_2
0000022,test,compliant,,rule_3
0000530,test,compliant,,rule_4
0000879,test,compliant,,rule_1
0000074,test,compliant,,rule_2
0001014,test,compliant,,rule_3
0000936,test,compliant,,rule_4
0000568,test,compliant,,rule_1
0000444,test,compliant,,rule_2
0000940,test,compliant,,rule_3
0000486,test,compliant,,rule_4
0000183,test,compliant,,rule_1
0000034,test,compliant,,rule_2
0000905,test,compliant,,rule_3
0000889,test,compliant,,rule_4
0000804,test,compliant,,rule_1
0000886,test,compliant,,rule_2
0000798,test,compliant,,rule_3
0000471,test,compliant,,rule_4
0000129,test,compliant,,rule_1
0000904,test,compliant,,rule_2
